Syntax version=4
Tue Feb 27 17:14:05 2018
Starting process (2533349 clocks per sec)

LogRawData=false
VarHeader=1
D:		measuredSpeed	accelPedalValue_scaled	start_recording
D:	time(ms)	(0x20000018,5)	(0x20000024,2)	(0x20000044,5)
D:	0.07	0	0	0
D:	504.28	0	0	0
D:	1005.31	0	0	0
D:	1510.33	0	0	0
D:	2021.30	0	0	0
D:	2523.31	0	0	0
D:	3034.28	0	0	0
D:	3546.16	0	0	0
D:	4047.30	0	1525	1
D:	4560.16	1200	2620	1
D:	5062.33	1700	2506	1
D:	5563.13	2300	3195	1
D:	6075.30	2200	689	1
D:	6576.13	1800	1046	1
D:	7090.71	1700	2504	1
D:	7611.73	1700	1933	1
D:	8113.74	1600	1114	1
D:	8624.71	1700	2954	1
D:	9126.71	2100	2511	1
D:	9637.70	2100	1952	1
D:	10149.70	1800	1228	1
D:	10670.67	1600	2271	1
D:	11182.65	1800	2103	1
D:	11693.65	1800	2416	1
D:	12205.70	2200	3424	1
D:	12716.54	2800	2700	1
D:	13228.66	2500	2428	1
D:	13729.67	2300	2725	1
D:	14241.65	2400	2725	1
D:	14742.61	2300	2725	1
D:	15254.60	2300	2725	1
D:	15755.62	2200	2725	1
D:	16267.61	2300	2725	1
D:	16768.60	2300	2725	1
D:	17280.58	2300	2725	1
D:	17781.54	2300	2725	1
D:	18293.61	2300	2725	1
D:	18794.54	1800	2725	1
D:	19306.57	1200	2725	1
D:	19807.56	700	2725	1
D:	20319.55	300	2725	1
D:	20820.52	0	2725	1
D:	21332.51	0	2725	1
D:	21833.51	0	2725	1
D:	22345.51	0	2725	1
D:	22856.51	0	2725	1
D:	23368.54	0	2725	1
D:	23869.51	0	2725	1
D:	24381.54	0	2725	1
D:	24882.49	0	2725	1
D:	25394.49	0	2725	1
D:	25895.44	0	2725	1
D:	26407.46	0	2725	1
D:	26908.45	0	2725	1
D:	27420.47	0	2725	1
D:	27931.43	0	2725	1
D:	28453.44	0	2725	1
D:	28964.44	0	2725	1
D:	29476.39	0	2725	1
D:	29997.39	0	2725	1
D:	30499.38	0	2725	1
D:	31010.37	0	2725	1
D:	31512.42	0	2725	1
D:	32023.41	0	2725	1
D:	32525.36	0	2725	1
D:	33036.37	0	2725	1
D:	33538.36	0	2725	1
D:	34049.33	0	2725	1
D:	34551.34	0	2725	1
D:	35062.33	0	2725	1
D:	35564.34	0	2725	1
D:	36075.32	0	2725	1
D:	36577.28	0	2725	1
D:	37088.33	0	2725	1
D:	37600.27	0	2725	1
D:	38111.35	0	2725	1
D:	38623.30	0	2725	1
D:	39124.25	0	2725	1
D:	39636.26	0	2725	1
D:	40138.51	0	2725	1
D:	40649.23	0	2725	1
D:	41148.77	0	2725	1
D:	41659.73	0	2725	1
D:	42161.71	0	2725	1
D:	42672.70	0	2725	1
D:	43188.52	0	2725	1
D:	43687.69	0	2725	1
D:	44198.58	0	2725	1
D:	44700.69	0	2725	1
D:	45201.59	0	2725	1
D:	45723.68	0	2725	1
D:	46224.66	0	2725	1
D:	46736.66	0	2725	1
D:	47237.59	0	2725	1
D:	47749.62	0	2725	1
D:	48250.63	0	2725	1
D:	48762.62	0	2725	1
D:	49263.61	0	2725	1
D:	49775.58	0	2725	1
D:	50276.60	0	2725	1
D:	50788.59	0	2725	1
D:	51289.61	0	2725	1
D:	51801.57	0	2725	1
D:	52302.61	0	2725	1
D:	52814.58	0	2725	1
D:	53315.54	0	2725	1
D:	53827.53	0	2725	1
D:	54328.56	0	2725	1
D:	54840.53	0	2725	1
D:	55351.51	0	2725	1
D:	55863.56	0	2725	1
D:	56364.52	0	2725	1
D:	56876.48	0	2725	1
D:	57367.55	0	2725	1
D:	57889.50	0	2725	1
D:	58400.50	100	2725	1
D:	58912.45	400	2725	1
D:	59433.46	200	2725	1
D:	59945.43	100	2725	1
D:	60456.44	0	2725	1
